,Oper. Margin,Profit Margin,EPS this Y,Sales Q/Q,EPS Q/Q,EPS next Q,Payout,Book/sh,ROE,ROA,LT Debt/Eq,P/E,Forward P/E,Recom,Perf Week,Perf Month,Perf Quarter,Prev Close,SMA20,Target Price,P/B,Growth %,Leverage
HUM,5.3,4.1,29.8,14.3,6.3,2.19,11.1,87.02,22.9,9.1,0.46,17.83,17.98,1.9,5.66,17.53,12.39,335.55,10.28,336.74,3.8560101126177893,20.3581,2.5164835164835164
CI,5.7,3.3,8.8,236.9,14.6,4.2,0.3,119.24,9.9,2.8,0.76,17.21,10.55,1.8,4.15,18.96,20.27,196.01,9.54,215.92,1.6438275746393827,9.8703,3.535714285714286
ANTM,6.2,4.3,38.0,14.7,25.8,3.88,18.8,122.77,14.2,5.7,0.6,18.24,13.12,1.8,5.58,19.49,8.93,297.82,10.19,329.92,2.425836930846298,11.5304,2.4912280701754383
FCX,4.3,1.6,82.9,35.8,138.1,0.03,126.3,6.5,2.4,0.6,1.05,164.12,20.18,2.3,3.13,18.22,20.65,11.16,4.88,12.9,1.716923076923077,-0.6311999999999999,4.0
ARNC,6.6,2.6,339.0,1.0,35.0,0.53,20.4,10.64,7.5,2.1,1.06,34.99,12.61,2.2,6.52,11.41,23.29,30.86,8.74,32.0,2.900375939849624,5.97,3.571428571428571
NEM,39.1,25.4,63.3,57.2,996.5,0.55,20.1,26.13,14.5,7.5,0.31,12.92,15.8,1.9,2.73,1.83,1.36,37.61,0.71,48.84,1.4393417527745886,11.585500000000001,1.9333333333333333
VLO,3.1,2.1,46.7,11.7,26.5,1.8,63.2,51.23,10.8,4.5,0.43,18.39,10.25,1.9,0.25,11.66,26.24,100.61,1.7,107.29,1.963888346671872,3.9744,2.4000000000000004
MPC,5.3,2.5,40.2,34.9,2.7,1.24,43.5,51.43,9.2,3.3,0.84,13.89,8.74,1.6,2.33,0.92,35.31,64.69,2.26,80.81,1.2578261714952361,5.1979999999999995,2.7878787878787876
PSX,3.2,4.3,158.6,9.2,48.6,2.53,34.0,55.36,18.6,8.0,0.45,11.74,10.96,1.9,1.12,10.4,19.85,118.36,1.72,129.24,2.1380057803468207,12.276000000000002,2.325
ADSK,5.2,1.9,38.8,30.3,200.5,0.73,0.0,0.88,23.1,1.3,0.0,879.08,35.97,1.9,5.75,12.12,10.65,161.75,7.36,173.26,183.8068181818182,23.1,17.76923076923077
UPS,10.5,6.8,3.7,5.0,16.0,2.11,65.6,6.43,121.5,9.6,3.91,21.52,15.3,2.4,0.46,4.51,5.94,123.73,3.19,125.21,19.24261275272162,41.79600000000001,12.65625
